,area,perimeter,physiological_length,physiological_width,aspect_ratio,rectangularity,circularity,mean_r,mean_g,mean_b,stddev_r,stddev_g,stddev_b
0,870589.5,3740.592392683029,1362,931,1.4629430719656284,1.456509640881265,16.07190466712285,43.403445833333336,51.800031770833336,35.34399583333333,51.40493763979515,59.18882079394861,44.60113583652681
0,968887.0,3893.462441444397,1398,989,1.4135490394337715,1.427020901302216,15.645838764415421,45.364216666666664,55.341580729166665,43.116016145833335,49.54344825473615,57.133833682427614,47.21822418242142
0,897816.0,3784.433006644249,1377,963,1.4299065420560748,1.476974123873934,15.951969202797043,44.95879479166667,52.469769791666664,38.47321458333333,52.27533448846409,58.336728207960945,45.702784985798395
0,1001621.0,3917.001545071602,1341,1077,1.2451253481894151,1.4419196482501864,15.3180705117937,48.957089583333335,57.639640625,46.59354583333333,51.01088437109419,57.42499386406162,48.64891502954684
0,941806.5,3862.1903681755066,1342,1036,1.2953667953667953,1.476218310236763,15.838194406205156,48.87612760416667,57.3396234375,48.233234895833334,55.1244590761855,62.0864247288262,55.46304594543892
0,837350.5,3737.455304980278,1355,924,1.4664502164502164,1.4952161609744068,16.68186996571355,40.85988385416667,48.477533854166666,33.866911458333334,49.50956120062238,56.67195363321807,42.553261478294175
0,73.5,35.55634891986847,13,10,1.3,1.7687074829931972,17.200733993352813,43.319819270833335,52.29874427083333,42.73034166666667,47.90171547368116,55.18705186007386,47.329167803884594
0,738338.0,3596.84513258934,1339,852,1.5715962441314555,1.545129737328974,17.52218483652694,30.0217,36.6850046875,24.195458333333335,41.6822273270435,48.59029154718671,35.78629124164169
0,925100.0,3879.26143682003,1381,1002,1.3782435129740518,1.4957972111123121,16.267073067991575,43.854416666666665,54.14845572916666,37.563003125,49.27943159584661,57.97344469274107,44.67140208164029
0,839963.0,3778.0654752254486,1379,919,1.500544069640914,1.5087581238697418,16.993342248516296,53.85887291666667,47.88905104166667,30.545016666666665,62.583716755542866,56.12096427319869,39.25594679684072
0,892477.5,3673.6563135385513,1295,952,1.3602941176470589,1.3813681577406713,15.121670529511006,43.74304375,51.0527078125,42.376916666666666,51.34858192972736,57.68349446649073,49.89378878003138
0,794932.0,3741.472549557686,1376,888,1.5495495495495495,1.5370975127432283,17.609829317594073,35.13283697916667,41.99714114583333,33.6707765625,45.24811713006554,52.0939744561639,43.69728744621763
0,1020495.5,4093.24418759346,1430,1039,1.3763233878729548,1.4559299869524167,16.418149790241745,57.5187921875,63.2600703125,54.917513541666665,58.8902163721079,62.94471882959461,56.8470592736997
0,857096.0,3795.628965139389,1377,957,1.438871473354232,1.537504550248747,16.808851331712095,44.73427708333333,50.68097708333333,42.0741671875,53.87205028350254,58.925373959387315,50.48879485587997
0,896009.0,3661.330404996872,1254,974,1.2874743326488707,1.3631514862015894,14.961167058092673,44.817447916666666,49.66011145833333,42.976621875,52.78576030904112,56.69773281170573,50.870527908733855
0,850674.5,3702.391377925873,1313,974,1.3480492813141685,1.503350576513108,16.11392126523111,41.522638020833334,47.64792760416667,38.9178640625,52.040460441243944,57.16973274752934,49.79105960620444
0,735343.0,3518.9284024238586,1341,826,1.6234866828087167,1.5063256194728174,16.8395661635255,32.68290572916667,40.35613020833333,29.3469171875,44.45996236871517,52.56666342432605,40.9072650819613
0,849920.0,3602.3009774684906,1278,927,1.3786407766990292,1.393902955572289,15.267992672569704,41.2067078125,47.83514427083333,40.218917708333336,49.540787840940546,55.897895115269996,48.07236115824401
0,835087.5,3669.1365443468094,1327,941,1.410201912858661,1.495300791833191,16.121140576360258,39.982479166666664,45.6388390625,37.569461458333336,48.84809130631819,54.21694457384196,45.81681663498826
0,790031.0,3608.727386236191,1329,887,1.4983089064261557,1.4921224610173525,16.484053598113352,34.31780625,41.47275520833333,32.0571421875,45.15327101730792,52.11826669552939,42.844244968932614
0,974517.0,3936.231994152069,1372,1045,1.3129186602870813,1.4712313894985927,15.899078529965484,46.99369375,52.87663229166667,44.9607765625,52.21036802189015,56.36650789875318,50.67790428654402
0,815976.5,3660.592389702797,1318,931,1.4156820622986037,1.5037908567219767,16.421963921203652,40.232325520833335,45.202613541666665,37.31299375,51.660198103390385,55.71683796815283,47.724393303241264
0,735885.5,3549.79845225811,1347,842,1.5997624703087887,1.5412370538623197,17.123681675551527,33.28617083333334,38.6005140625,30.945977083333332,46.25822528215009,51.639172167372784,43.80436149164991
0,730969.0,3621.9233354330063,1321,885,1.4926553672316385,1.5993633108928011,17.94649109299321,32.572625,38.39127760416667,29.763020833333332,46.320662670051576,52.26740819716413,43.22874661128744
0,857151.5,3806.117204785347,1186,1042,1.1381957773512477,1.4417661288582007,16.900779123134036,42.12517916666667,49.06313125,40.633034375,52.48072830780743,58.584665281214484,51.91792539051485
0,881254.0,3602.5263701677322,1194,1024,1.166015625,1.3874047663897129,14.726964357329324,43.54115260416667,49.692721875,41.3326421875,51.37030901337696,56.838432713076244,49.84277250042639
0,992018.0,4034.2319959402084,1387,1064,1.3035714285714286,1.487642361328121,16.405980332078368,45.50740729166667,55.32127760416667,36.24020677083333,50.10505594838073,57.75571755582786,43.8629554595304
0,956357.0,3758.8451305627823,1280,995,1.2864321608040201,1.3317202676406406,14.773684634038899,49.1552890625,56.9133265625,47.256901041666666,54.159760175671295,60.4688301050858,52.50548961160912
0,937235.5,3859.646211743355,1377,987,1.3951367781155015,1.4501147257012779,15.894477833826002,48.15514114583333,52.790526041666666,45.48218645833333,53.197492162419685,56.90106429176682,50.07725074375326
0,913522.0,3725.2715364694595,1344,922,1.4577006507592192,1.3564730789187343,15.191367061143056,49.48854114583333,52.6200171875,47.04181666666667,56.330072997493914,58.569376446510326,53.0553151919427
0,1019796.0,4033.5213183164597,1407,1032,1.3633720930232558,1.4238377087182141,15.953479152019963,43.64179427083333,50.21812864583333,40.073068229166665,46.957474961942175,51.8928200175423,44.11589837779257
0,873958.0,3785.011659502983,1319,962,1.3711018711018712,1.4518752617402666,16.392450509719602,45.53593125,51.9136328125,44.00658229166667,54.72043760092697,60.655971724250584,53.88406423562014
0,958391.5,3904.3324987888336,1344,1038,1.2947976878612717,1.4556389533922203,15.905621305175032,47.16353854166667,53.2576046875,45.320425,52.38893020734806,57.10196405272891,50.88373070772271
0,932.5,161.9827550649643,67,28,2.392857142857143,2.0117962466487938,28.137708244971815,40.233094791666666,45.185264583333336,37.1045703125,51.01708710023632,55.03927805774252,47.18269873971014
